hochdeutsch,bischemerisch
a,no
aa,häwwe
aa,jo
Aal,Aol
Aal,Oal
aam,haabt in
aam,in
aam,vor
aam,wuu
aanzichs,ann
Aas,o
Aas,O
Aas,s
ab,aa
ab,ab
ab,oa
ab,oab
abend,oowend
Abend,Oowend
Abend,Owend
Abend,Owent
Abend,Owet
Abendgang,Oowendgoong
abends,oowends
Abendspaziergang,Oowendgoong
aber,adder
aber,aowwer
aber,awwer
aber,oawwer
aber das,oawwer's
aber das,s
aber es,oawwer's
Abfall,Gebützich
Abfall von Hanf oder Flachs,Eschwinge
abgebrannt,oagebrennd
abgekühlt,aagekühlt
abgemattet,lommeri
abgespaltenes Holzstück,Schbelder
abgestimmt,oabgstimmt
abgrasen,groase
Abhang,Hele
Abhang im Flurnamen,Laide
Abhang im Flurnamen,Leite
Abkürzung für Hoasefroanz,Hoas
abluchsen,lugse
abluchsen,oalugse
ablösen,oalöse
abmachen,ropfe
Abraham,Abram
Abrahams,Abrams
abreissen,ropfe
Abschied,Oabschied
Abschiedsgruß,adje
Abschiedsgruß,r
abseits,ewägg
abstauben,oschdaabe
abstehlen,zestehle
abwimmeln,aawimle
abwischen,wysche
abwischen,wüsche
abzuhelfen,oazuhelfe
Acheln,Axn
Achse,Ogs
Achsel,Ogsl
acht,acht
acht,oacht
acht,ocht
Achtung,Ochding
Acker,Ager
Acker,Akr
ackern,agere
ackern,zagere
Ackerwinde,Binne
Adam,Odem
ade,adee
ade,ades
ade,adje
Adern,Odern
adieu,ades
adieu,adje
Advokat,Afegot
Affe,Af
Affe,Modi
After,Afdr
agiere,achiere
agilen,Knubberle
akkurat,akrod
albern,olwer
albern,olwerit
albern,ölweri
albernes,olwris
all die Weil,awl
all die Weil,awwell
all so bald,alsepal
alle,al
alle,ali
alle,all
alle,alle
alle,alli
alle Furz lang,alli Fürts leng
alle Weile,alleweil
allein,allan
allein,alloa
allein,ela
allein,elans
allein,n
alleinstehend,blut
alleinstehender,bloder
allen,alene
allen,alle
allerbeste,allerbesde
Allerbesten,Allerbesden
allererst,allerärscht
allerhand,alerhant
allerwenigste,allerwennichste
alles,wu
allesamt,allisamt
allso fort,alsefort
Alois,Alwis
als,als
alsbald,zebal
also,als
also,also
alsobald,aldsebal
alt,ald
alt,oald
Alt sein,Alder
altbacken,albagit
altbacken,allpaki
altbacken,allpakit
altbacken,t
alte,ald
alte,alde
alte,aldi
Alte,Alti
Alte,Oalde
alte,oaldi
alte Haube,Bedser
alte Haube,Petsr
alte Kleider,Fetze
Alten,Alde
alten,oalde
alter,alder
Alter,Alder
Alter,Alderle
Alter,Altr
alter,oalder
alter Gaul,Märe
altersgraue,aldersgraue
Altertum,Alderdum
Altertum,Alderdumm
Altertum,Oalderdum
altes,aldes
Altes,Alts
Altes,s
altgraue,aldersgraue
am,amm
