hochdeutsch,bischemerisch
a,no
aa,hÃ¤wwe
aa,jo
Aal,Aol
Aal,Oal
aam,haabt in
aam,in
aam,vor
aam,wuu
aanzichs,ann
Aas,o
Aas,O
Aas,s
ab,aa
ab,ab
ab,oa
ab,oab
abend,oowend
Abend,Oowend
Abend,Owend
Abend,Owent
Abend,Owet
Abendgang,Oowendgoong
abends,oowends
Abendspaziergang,Oowendgoong
aber,adder
aber,aowwer
aber,awwer
aber,oawwer
aber das,oawwer's
aber das,s
aber es,oawwer's
Abfall,GebÃ¼tzich
Abfall von Hanf oder Flachs,Eschwinge
abgebrannt,oagebrennd
abgekÃ¼hlt,aagekÃ¼hlt
abgemattet,lommeri
abgespaltenes HolzstÃ¼ck,Schbelder
abgestimmt,oabgstimmt
abgrasen,groase
Abhang,Hele
Abhang im Flurnamen,Laide
Abhang im Flurnamen,Leite
AbkÃ¼rzung fÃ¼r Hoasefroanz,Hoas
abluchsen,lugse
abluchsen,oalugse
ablÃ¶sen,oalÃ¶se
abmachen,ropfe
Abraham,Abram
Abrahams,Abrams
abreissen,ropfe
Abschied,Oabschied
AbschiedsgruÃŸ,adje
AbschiedsgruÃŸ,r
abseits,ewÃ¤gg
abstauben,oschdaabe
abstehlen,zestehle
abwimmeln,aawimle
abwischen,wysche
abwischen,wÃ¼sche
abzuhelfen,oazuhelfe
Acheln,Axn
Achse,Ogs
Achsel,Ogsl
acht,acht
acht,oacht
acht,ocht
Achtung,Ochding
Acker,Ager
Acker,Akr
ackern,agere
ackern,zagere
Ackerwinde,Binne
Adam,Odem
ade,adee
ade,ades
ade,adje
Adern,Odern
adieu,ades
adieu,adje
Advokat,Afegot
Affe,Af
Affe,Modi
After,Afdr
agiere,achiere
agilen,Knubberle
akkurat,akrod
albern,olwer
albern,olwerit
albern,Ã¶lweri
albernes,olwris
all die Weil,awl
all die Weil,awwell
all so bald,alsepal
alle,al
alle,ali
alle,all
alle,alle
alle,alli
alle Furz lang,alli FÃ¼rts leng
alle Weile,alleweil
allein,allan
allein,alloa
allein,ela
allein,elans
allein,n
alleinstehend,blut
alleinstehender,bloder
allen,alene
allen,alle
allerbeste,allerbesde
Allerbesten,Allerbesden
allererst,allerÃ¤rscht
allerhand,alerhant
allerwenigste,allerwennichste
alles,wu
allesamt,allisamt
allso fort,alsefort
Alois,Alwis
als,als
alsbald,zebal
also,als
also,also
alsobald,aldsebal
alt,ald
alt,oald
Alt sein,Alder
altbacken,albagit
altbacken,allpaki
altbacken,allpakit
altbacken,t
alte,ald
alte,alde
alte,aldi
Alte,Alti
Alte,Oalde
alte,oaldi
alte Haube,Bedser
alte Haube,Petsr
alte Kleider,Fetze
Alten,Alde
alten,oalde
alter,alder
Alter,Alder
Alter,Alderle
Alter,Altr
alter,oalder
alter Gaul,MÃ¤re
altersgraue,aldersgraue
Altertum,Alderdum
Altertum,Alderdumm
Altertum,Oalderdum
altes,aldes
Altes,Alts
Altes,s
altgraue,aldersgraue
am,amm
am,aomm
am,Aprilenarr
am,oam
am,oamm
am,om
am Ende,emend
am sou gud wie,das einem
am sou gud wie,wu
Amalia,Malche
Ameise,Eemest
Ameisen,Eemest
Ameisenart,Saxemest
Ameisenart,Sechemest
Ampel,Ambl
Ampel Verniedlichungsform,Embele
Ampfer,Hoampfer
Amsel,Amsl
Amt,Oamt
Amtsrichter,Oamtsrichter
amÃ¼sieren,amÃ¼siere
an,an
an,ann
an,n
an,o
an,oan
an,oann
an,on
an,onn
an,oo
an einen,onnen
Analfalte,Aorschkerwe
Analfalte,Oarschkerwe
andere,an'ri
andere,aneri
andere,anner
andere,annere
andere,annri
andere,anr
andere,oanneri
andere,re
anderen,ann're
anderes,anersch
anderes,anners
anderes,annersch
anderes,anrs
anderes,oanners
anders,anerscht
anders,anerst
anders,annerscht
anders,anrs keprauche
anders,anrst
anders,oanners
anders,oannerst
anderst,annerschd
anderst,anrst
anderthalb,anertalp
Andreas,Ondrees
Anfang,Ofonk
anfangen,fange
anfangen,n
anfangen,oo
anfangs,fangs
